index,genre,budget,gross,runtime,rating,score
398,Adventure,25000000.0,1402962.0,111.0,PG,5.0
399,Comedy,14000000.0,23646952.0,88.0,PG,4.7
400,Action,1250000.0,6149983.0,95.0,R,5.0
401,Action,14400000.0,16478265.0,90.0,PG,5.5
402,Adventure,19000000.0,28445927.0,105.0,PG,6.1
403,Adventure,,29600000.0,105.0,PG,7.5
404,Comedy,,694497.0,112.0,G,7.1
405,Animation,8000000.0,30379.0,77.0,PG,6.5
406,Adventure,2500000.0,10676194.0,98.0,PG,4.0
407,Comedy,,14648076.0,110.0,PG,7.2
408,Drama,,5563663.0,83.0,R,4.3
409,Drama,9500000.0,5696391.0,128.0,R,7.0
410,Horror,6000000.0,6333135.0,105.0,PG,4.1
411,Drama,,2044892.0,90.0,PG,7.0
412,Action,6500000.0,6486797.0,103.0,R,5.9
413,Action,700000.0,13168027.0,90.0,R,6.1
414,Comedy,,11798616.0,79.0,PG,7.7
415,Drama,,,110.0,R,6.5
416,Action,,,89.0,R,4.6
417,Comedy,9000000.0,13030214.0,107.0,PG,6.8
418,Drama,,123572.0,130.0,R,6.0
419,Adventure,8000000.0,724912.0,98.0,R,4.7
420,Comedy,,15543710.0,91.0,R,5.6
421,Action,,2810199.0,88.0,PG,4.4
422,Horror,4000000.0,1080470.0,88.0,R,6.1
423,Comedy,11000000.0,4491986.0,109.0,PG,4.3
424,Action,8000000.0,16134627.0,100.0,R,5.5
425,Drama,11800000.0,5997566.0,104.0,R,5.7
426,Comedy,12000000.0,14000000.0,103.0,R,5.8
427,Drama,5000000.0,1223200.0,92.0,R,3.0
428,Crime,,5555305.0,109.0,R,6.3
429,Drama,,5310748.0,118.0,PG,7.6
430,Thriller,,11787127.0,102.0,R,6.6
431,Biography,,,127.0,PG,7.0
432,Comedy,19000000.0,10964740.0,110.0,R,5.3
433,Horror,6000000.0,6670680.0,99.0,R,5.8
434,Comedy,10000000.0,10369581.0,99.0,PG,4.6
435,Action,5000000.0,1262691.0,95.0,PG,5.7
436,Comedy,,17613720.0,98.0,PG,6.6
437,Comedy,,6347072.0,101.0,PG,4.9
438,Comedy,3000000.0,1867792.0,105.0,R,6.3
439,Drama,,1772889.0,130.0,R,6.6
440,Comedy,,,85.0,R,5.2
441,Drama,,687475.0,130.0,R,6.6
442,Biography,,272278.0,113.0,PG,6.7
443,Drama,550000.0,5269990.0,88.0,R,5.9
444,Comedy,5500000.0,1645711.0,92.0,R,6.7
445,Action,12000000.0,1963756.0,99.0,PG,6.2
446,Horror,,1362303.0,94.0,PG,5.5
447,Adventure,,12049514.0,103.0,PG,6.0
448,Action,,5301085.0,84.0,PG,3.8
449,Comedy,220000.0,975414.0,96.0,R,3.7
450,Drama,300000.0,1530839.0,110.0,R,6.8
451,Comedy,,,89.0,PG,5.8
452,Comedy,10100000.0,10171304.0,95.0,PG,5.2
453,Biography,8000000.0,3000000.0,106.0,PG,6.7
454,Drama,,1818910.0,100.0,R,5.1
455,Comedy,5000000.0,4304286.0,91.0,PG,5.3
456,Action,,1723487.0,86.0,R,4.3
457,Action,,2443487.0,111.0,R,3.8
458,Drama,,2439705.0,122.0,PG,6.1
459,Comedy,,6857733.0,103.0,PG,5.2
460,Action,,,105.0,R,4.7
461,Drama,,2314561.0,99.0,PG,6.1
462,Drama,,,111.0,R,6.3
463,Crime,,108128.0,89.0,R,4.9
464,Drama,100000.0,,92.0,,6.0
465,Comedy,,16156776.0,83.0,R,7.3
466,Action,3000000.0,,95.0,R,4.9
467,Drama,50000.0,26177.0,115.0,Not Rated,7.2
468,Comedy,,,96.0,PG,5.4
469,Action,,,92.0,PG,4.5
470,Thriller,2500000.0,,95.0,R,5.4
471,Comedy,3000.0,,80.0,Not Rated,5.0
472,Drama,,,84.0,Not Rated,6.7
473,Drama,,6666725.0,94.0,PG,5.3
474,History,323562.0,,55.0,,8.3
475,Action,6400000.0,78371200.0,107.0,R,8.0
476,Action,40000000.0,30925690.0,137.0,PG-13,6.5
477,Action,30000000.0,296187079.0,105.0,PG,7.8
478,Action,8000000.0,91119319.0,126.0,PG,7.3
479,Crime,30000000.0,5473212.0,229.0,R,8.4
480,Comedy,4500000.0,81198894.0,96.0,R,6.7
481,Action,28000000.0,333107271.0,118.0,PG,7.5
482,Crime,10000000.0,8801940.0,114.0,R,6.8
483,Horror,1800000.0,25507137.0,91.0,R,7.5
484,Biography,18000000.0,52066791.0,160.0,PG,8.3
485,Action,14000000.0,316360478.0,105.0,R,7.3
486,Action,17000000.0,38376497.0,114.0,PG-13,6.4
487,Adventure,27000000.0,20251411.0,102.0,PG,7.4
488,Drama,8200000.0,80039064.0,107.0,PG,6.6
489,Comedy,8000000.0,40874452.0,90.0,R,6.6
490,Comedy,11000000.0,153633143.0,106.0,PG,7.3
491,Action,10000000.0,86572238.0,106.0,PG,6.9
492,Action,14500000.0,8089290.0,93.0,PG,6.7
493,Comedy,6500000.0,23686027.0,93.0,PG,7.0
494,Drama,,2207548.0,145.0,R,8.1
495,Comedy,2500000.0,4736202.0,82.0,R,7.9
496,Drama,,8430492.0,113.0,R,7.1
497,Comedy,9000000.0,20458340.0,90.0,PG,7.2
498,Action,18000000.0,31042035.0,103.0,PG,5.9
499,Horror,800000.0,14568989.0,92.0,R,5.6
500,Action,15000000.0,28733290.0,101.0,PG,6.8
501,Comedy,8000000.0,69821334.0,111.0,PG,6.3
502,Crime,1500000.0,4228292.0,99.0,R,7.6
503,Drama,28000000.0,47951979.0,138.0,PG,7.5
504,Comedy,5000000.0,38435947.0,105.0,R,6.3
505,Animation,1000000.0,8736506.0,117.0,,8.1
506,Horror,2600000.0,32980880.0,91.0,R,6.0
507,Comedy,,7121719.0,88.0,R,4.9
508,Action,13000000.0,21689062.0,128.0,R,5.9
509,Action,35000000.0,14296438.0,124.0,PG,4.4
510,Adventure,25000000.0,8613462.0,132.0,PG,7.0
511,Action,15000000.0,17080167.0,114.0,R,6.1
512,Horror,1250000.0,4654423.0,88.0,R,5.6
513,Comedy,9000000.0,25348610.0,87.0,PG-13,6.0
514,Action,,6770587.0,99.0,PG-13,5.9
515,Adventure,,6254148.0,103.0,PG,6.4
516,Action,17000000.0,76471046.0,105.0,PG,6.7
517,Action,1500000.0,129000.0,92.0,R,6.9
518,Adventure,28000000.0,40400657.0,116.0,PG,6.8
519,Biography,14400000.0,34700291.0,141.0,R,7.8
520,Crime,58000000.0,25928721.0,127.0,R,6.5
521,Romance,22000000.0,28744356.0,115.0,PG,7.0
522,Comedy,700000.0,14418922.0,95.0,PG-13,6.4
523,Comedy,,18644570.0,100.0,R,5.8
524,Action,,12145169.0,99.0,PG-13,6.3
525,Drama,,2912945.0,107.0,R,6.4
526,Adventure,21000000.0,8103330.0,102.0,PG,6.1
527,Drama,,34901614.0,111.0,PG,7.4
528,Comedy,7000000.0,8914881.0,105.0,R,3.0
